ID,Image,Name,Nickname,Game,Archetype,Position,Element,Team,Power,Control,Technique,Pressure,Physical,Agility,Intelligence,Total,Age group,School year,Gender,Role
25,https://dxi4wb638ujep.cloudfront.net/1/k/6/1/61at4120ans.png,Derek Swing,Swing,Inazuma Eleven,Counter-attack,MF,Wind,Royal Academy,135,158,159,119,113,113,141,938,Middle School,Grade 7,Male,Player
26,https://dxi4wb638ujep.cloudfront.net/1/k/l/d/ldrmvkqotue.png,Daniel Hatch,Hatch,Inazuma Eleven,Rough Play,FW,Forest,Royal Academy,156,152,138,123,120,113,135,937,Middle School,Grade 8,Male,Player
27,https://dxi4wb638ujep.cloudfront.net/1/k/l/1/l1wbplzhm4k.png,Jude Sharp,Jude,Inazuma Eleven,Justice,MF,Wind,Royal Academy,145,156,152,127,128,119,140,967,Middle School,Grade 8,Male,Player
28,https://dxi4wb638ujep.cloudfront.net/1/k/u/d/udbgi0_9hlm.png,David Samford,Samford,Inazuma Eleven,Counter-attack,FW,Forest,Royal Academy,169,161,147,123,119,119,130,968,Middle School,Grade 8,Male,Player
29,https://dxi4wb638ujep.cloudfront.net/1/k/0/y/0yivxpk1ur8.png,Bob Carlton,Carlton,Inazuma Eleven,Justice,GK,Forest,Royal Academy,117,128,120,135,141,145,128,914,Middle School,Grade 8,Male,Player
30,https://dxi4wb638ujep.cloudfront.net/1/k/f/a/fat0cwsp5yu.png,Cliff Tomlinson,Tomlinson,Inazuma Eleven,Breach,FW,Wind,Royal Academy,155,151,137,121,119,112,134,929,Middle School,Grade 9,Male,Player
31,https://dxi4wb638ujep.cloudfront.net/1/k/h/7/h7uoyp-j8eu.png,Jim Lawrenson,Lawrenson,Inazuma Eleven,Tension,FW,Wind,Royal Academy,165,156,142,116,113,113,124,929,Middle School,Grade 7,Male,Player
32,https://dxi4wb638ujep.cloudfront.net/1/k/2/t/2tljfwyzrt8.png,Barry Potts,Potts,Inazuma Eleven,Rough Play,MF,Wind,Royal Academy,135,156,158,116,113,113,140,931,Middle School,Grade 9,Male,Player
33,https://dxi4wb638ujep.cloudfront.net/1/k/w/8/w8g8mttrknm.png,Steve Ingham,Ingham,Inazuma Eleven,Bond,FW,Mountain,Royal Academy,155,151,137,121,119,112,134,929,Middle School,Grade 8,Male,Player
34,https://dxi4wb638ujep.cloudfront.net/1/k/8/w/8wocttgsuu0.png,Ray Dark,Dark,Inazuma Eleven,Tension,MF,Wind,Royal Academy,135,158,159,119,113,113,141,938,Adult,-,Male,Manager
35,https://dxi4wb638ujep.cloudfront.net/1/k/n/y/ny_j-sgwdnc.png,Stephen Black,Black,Inazuma Eleven,Tension,DF,Forest,Royal Academy,120,123,127,135,142,123,155,925,Adult,-,Male,Coach
36,https://dxi4wb638ujep.cloudfront.net/1/k/v/a/vaeuza7dvs8.png,Nathan Jones,Mask,Inazuma Eleven,Rough Play,GK,Wind,Occult,119,130,123,133,144,152,131,932,Middle School,Grade 8,Male,Player
37,https://dxi4wb638ujep.cloudfront.net/1/k/p/v/pv9hgholaym.png,Russell Walk,Styx,Inazuma Eleven,Justice,DF,Forest,Occult,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
38,https://dxi4wb638ujep.cloudfront.net/1/k/-/h/-hman4ox3bk.png,Jason Jones,Creepy,Inazuma Eleven,Bond,DF,Wind,Occult,114,119,116,142,148,121,165,925,Middle School,Grade 7,Male,Player
39,https://dxi4wb638ujep.cloudfront.net/1/k/8/m/8mlcjh6dyhk.png,Ken Furan,Franky,Inazuma Eleven,Rough Play,DF,Mountain,Occult,114,119,116,142,148,121,165,925,Middle School,Grade 9,Male,Player
40,https://dxi4wb638ujep.cloudfront.net/1/k/n/o/no69oecnf0m.png,Jerry Fulton,Undead,Inazuma Eleven,Rough Play,DF,Fire,Occult,120,123,127,135,142,123,155,925,Middle School,Grade 8,Male,Player
41,https://dxi4wb638ujep.cloudfront.net/1/k/t/h/thziddpvqu8.png,Ray Mannings,Jiangshi,Inazuma Eleven,Tension,MF,Wind,Occult,140,152,147,121,123,113,135,931,Middle School,Grade 8,Male,Player
42,https://dxi4wb638ujep.cloudfront.net/1/k/c/j/cjopw8pvhnu.png,Robert Mayer,Mummy,Inazuma Eleven,Tension,MF,Forest,Occult,140,152,147,121,123,113,135,931,Middle School,Grade 8,Male,Player
43,https://dxi4wb638ujep.cloudfront.net/1/k/o/j/ojxxbxm3gy8.png,Alexander Brave,Grave,Inazuma Eleven,Counter-attack,MF,Fire,Occult,140,152,147,121,123,113,135,931,Middle School,Grade 8,Male,Player
44,https://dxi4wb638ujep.cloudfront.net/1/k/z/l/zlmqsoqnnru.png,Johan Tassman,Talisman,Inazuma Eleven,Rough Play,FW,Forest,Occult,166,158,142,119,113,113,126,937,Middle School,Grade 7,Male,Player
45,https://dxi4wb638ujep.cloudfront.net/1/k/3/j/3j9d2pjesh0.png,Troy Moon,Wolfy,Inazuma Eleven,Bond,MF,Fire,Occult,135,156,158,116,113,113,140,931,Middle School,Grade 9,Male,Player
46,https://dxi4wb638ujep.cloudfront.net/1/k/g/l/glm8bwf-b0c.png,Burt Wolf,Blood,Inazuma Eleven,Rough Play,MF,Mountain,Occult,135,158,159,119,113,113,141,938,Middle School,Grade 8,Male,Player
47,https://dxi4wb638ujep.cloudfront.net/1/k/m/k/mkvjitw20us.png,Rob Crombie,Zombie,Inazuma Eleven,Tension,GK,Mountain,Occult,117,128,120,135,141,145,128,914,Middle School,Grade 9,Male,Player
48,https://dxi4wb638ujep.cloudfront.net/1/k/x/m/xmeolswmzne.png,Chuck Dollman,Dollman,Inazuma Eleven,Rough Play,FW,Forest,Occult,165,156,142,116,113,113,124,929,Middle School,Grade 8,Male,Player
49,https://dxi4wb638ujep.cloudfront.net/1/k/v/t/vtz0llegche.png,Uxley Allen,Alien,Inazuma Eleven,Breach,FW,Wind,Occult,155,151,137,121,119,112,134,929,Middle School,Grade 8,Male,Player
50,https://dxi4wb638ujep.cloudfront.net/1/k/k/f/kfovm0iaxss.png,Phil Noir,Noir,Inazuma Eleven,Bond,FW,Forest,Occult,155,151,137,121,119,112,134,929,Middle School,Grade 8,Male,Player
51,https://dxi4wb638ujep.cloudfront.net/1/k/e/q/eqlg1pxseyc.png,Mick Askley,Ghost,Inazuma Eleven,Bond,MF,Forest,Occult,135,156,158,116,113,113,140,931,Middle School,Grade 9,Male,Player
52,https://dxi4wb638ujep.cloudfront.net/1/k/p/5/p54_qlu6ghc.png,Hekyll Jyde,Jyde,Inazuma Eleven,Rough Play,DF,Mountain,Occult,120,123,127,135,142,123,155,925,Adult,-,Male,Manager
53,https://dxi4wb638ujep.cloudfront.net/1/k/t/2/t2vvykaoccs.png,Lanny Tern,Tern,Inazuma Eleven,Counter-attack,GK,Wind,Occult,117,128,120,135,141,145,128,914,Middle School,Grade 8,Female,Coordinator
54,https://dxi4wb638ujep.cloudfront.net/1/k/p/a/pakshsy_xr0.png,Charlie Boardfield,Boar,Inazuma Eleven,Rough Play,GK,Fire,Wild,117,128,120,135,141,145,128,914,Middle School,Grade 9,Male,Player
55,https://dxi4wb638ujep.cloudfront.net/1/k/v/v/vvpnupt3ele.png,Hugo Tallgeese,Chicken,Inazuma Eleven,Rough Play,MF,Fire,Wild,140,152,147,121,123,113,135,931,Middle School,Grade 7,Male,Player
56,https://dxi4wb638ujep.cloudfront.net/1/k/e/h/ehyg5wlnp4s.png,Wilson Fishman,Fishman,Inazuma Eleven,Bond,DF,Forest,Wild,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
57,https://dxi4wb638ujep.cloudfront.net/1/k/c/m/cmfaxpzhs-s.png,Peter Johnson,Toad,Inazuma Eleven,Counter-attack,DF,Forest,Wild,114,119,116,142,148,121,165,925,Middle School,Grade 7,Male,Player
58,https://dxi4wb638ujep.cloudfront.net/1/k/t/o/tou76w_bbne.png,Leonard O'Shea,Lion,Inazuma Eleven,Rough Play,DF,Mountain,Wild,120,123,127,135,142,123,155,925,Middle School,Grade 9,Male,Player
59,https://dxi4wb638ujep.cloudfront.net/1/k/n/h/nhnoplkt0t0.png,Cham Lion,Chameleon,Inazuma Eleven,Breach,MF,Wind,Wild,141,152,149,123,124,113,135,937,Middle School,Grade 9,Male,Player
60,https://dxi4wb638ujep.cloudfront.net/1/k/8/j/8j8ve0spzec.png,Steve Eagle,Eagle,Inazuma Eleven,Tension,MF,Wind,Wild,135,156,158,116,113,113,140,931,Middle School,Grade 8,Male,Player
61,https://dxi4wb638ujep.cloudfront.net/1/k/i/j/ijd315vl-h0.png,Bruce Monkey,Monkey,Inazuma Eleven,Rough Play,MF,Wind,Wild,135,156,158,116,113,113,140,931,Middle School,Grade 7,Male,Player
62,https://dxi4wb638ujep.cloudfront.net/1/k/5/l/5lywygjxtsc.png,Gary Lancaster,Gorilla,Inazuma Eleven,Bond,FW,Mountain,Wild,155,151,137,121,119,112,134,929,Middle School,Grade 8,Male,Player
63,https://dxi4wb638ujep.cloudfront.net/1/k/x/j/xjpbcha4y-8.png,Harry Snake,Snake,Inazuma Eleven,Breach,FW,Forest,Wild,155,151,137,121,119,112,134,929,Middle School,Grade 9,Male,Player
64,https://dxi4wb638ujep.cloudfront.net/1/k/m/l/mly6v4mcfnu.png,Adrian Speed,Cheetah,Inazuma Eleven,Rough Play,FW,Wind,Wild,166,158,142,119,113,113,126,937,Middle School,Grade 9,Male,Player
65,https://dxi4wb638ujep.cloudfront.net/1/k/g/k/gk7p8ltkqtk.png,Alan Coe,Koala,Inazuma Eleven,Justice,MF,Forest,Wild,135,156,158,116,113,113,140,931,Middle School,Grade 7,Male,Player
66,https://dxi4wb638ujep.cloudfront.net/1/k/3/m/3mkura1whem.png,Philip Anders,Panda,Inazuma Eleven,Breach,FW,Fire,Wild,165,156,142,116,113,113,124,929,Middle School,Grade 9,Male,Player
67,https://dxi4wb638ujep.cloudfront.net/1/k/1/t/1tny_dnccym.png,Rocky Rackham,Raccoon,Inazuma Eleven,Justice,DF,Forest,Wild,120,123,127,135,142,123,155,925,Middle School,Grade 8,Male,Player
68,https://dxi4wb638ujep.cloudfront.net/1/k/e/f/ef8ts8bmvrk.png,Matt Mouseman,Mouseman,Inazuma Eleven,Bond,MF,Mountain,Wild,140,152,147,121,123,113,135,931,Middle School,Grade 8,Male,Player
69,https://dxi4wb638ujep.cloudfront.net/1/k/k/q/kqfmbh0ualu.png,Chad Bullford,Bullford,Inazuma Eleven,Tension,GK,Fire,Wild,117,128,120,135,141,145,128,914,Middle School,Grade 9,Male,Player
70,https://dxi4wb638ujep.cloudfront.net/1/k/e/-/e-qruphieye.png,Harry Savage,Savage,Inazuma Eleven,Justice,MF,Wind,Wild,140,152,147,121,123,113,135,931,Adult,-,Male,Manager
71,https://dxi4wb638ujep.cloudfront.net/1/k/n/z/nz2ghxvgpic.png,Flammie Gonzalez,Gonzalez,Inazuma Eleven,Justice,FW,Fire,Wild,165,156,142,116,113,113,124,929,Middle School,Grade 8,Female,Coordinator
72,https://dxi4wb638ujep.cloudfront.net/1/k/l/s/lsetbtpeusc.png,Thomas Feldt,Feldt,Inazuma Eleven,Counter-attack,GK,Forest,Brain,119,130,123,133,144,152,131,932,Middle School,Grade 9,Male,Player
73,https://dxi4wb638ujep.cloudfront.net/1/k/r/d/rdnyso6mbms.png,Harry Leading,Leading,Inazuma Eleven,Breach,DF,Wind,Brain,114,119,116,142,148,121,165,925,Middle School,Grade 7,Male,Player
74,https://dxi4wb638ujep.cloudfront.net/1/k/a/r/arw5_xc22_e.png,Terry Stronger,Stronger,Inazuma Eleven,Justice,DF,Fire,Brain,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
75,https://dxi4wb638ujep.cloudfront.net/1/k/y/k/ykrlrooaz5e.png,Philip Marvel,Marvel,Inazuma Eleven,Breach,DF,Mountain,Brain,120,123,127,135,142,123,155,925,Middle School,Grade 8,Male,Player
76,https://dxi4wb638ujep.cloudfront.net/1/k/p/i/pige8xogeks.png,Noel Good,Good,Inazuma Eleven,Rough Play,DF,Forest,Brain,120,123,127,135,142,123,155,925,Middle School,Grade 8,Male,Player
77,https://dxi4wb638ujep.cloudfront.net/1/k/j/n/jndxvkdorqc.png,Tyron Rock,Rock,Inazuma Eleven,Counter-attack,MF,Fire,Brain,135,156,158,116,113,113,140,931,Middle School,Grade 9,Male,Player
78,https://dxi4wb638ujep.cloudfront.net/1/k/4/l/4lyqc17sgz0.png,Francis Tell,Tell,Inazuma Eleven,Bond,MF,Forest,Brain,140,152,147,121,123,113,135,931,Middle School,Grade 8,Male,Player
79,https://dxi4wb638ujep.cloudfront.net/1/k/m/p/mpniz44whmc.png,Samuel Buster,Buster,Inazuma Eleven,Bond,MF,Fire,Brain,135,156,158,116,113,113,140,931,Middle School,Grade 9,Male,Player
80,https://dxi4wb638ujep.cloudfront.net/1/k/9/n/9n8pehekmv0.png,Jonathan Seller,Seller,Inazuma Eleven,Justice,FW,Wind,Brain,166,158,142,119,113,113,126,937,Middle School,Grade 8,Male,Player
81,https://dxi4wb638ujep.cloudfront.net/1/k/t/p/tpnkegxdt5u.png,Victor Kind,Kind,Inazuma Eleven,Bond,MF,Forest,Brain,140,152,147,121,123,113,135,931,Middle School,Grade 8,Male,Player
82,https://dxi4wb638ujep.cloudfront.net/1/k/i/n/inwfp5x5ak8.png,Neil Turner,Turner,Inazuma Eleven,Tension,FW,Fire,Brain,166,158,142,119,113,113,126,937,Middle School,Grade 8,Male,Player
83,https://dxi4wb638ujep.cloudfront.net/1/k/c/i/ci1w6kex1qm.png,Reg Underwood,Under,Inazuma Eleven,Tension,GK,Forest,Brain,117,128,120,135,141,145,128,914,Middle School,Grade 8,Male,Player
84,https://dxi4wb638ujep.cloudfront.net/1/k/z/g/zgerxbilyzk.png,Patrick Stiller,Stiller,Inazuma Eleven,Tension,MF,Wind,Brain,140,152,147,121,123,113,135,931,Middle School,Grade 7,Male,Player
85,https://dxi4wb638ujep.cloudfront.net/1/k/x/b/xbdn5cwndfk.png,Charles Oughtry,Oughtry,Inazuma Eleven,Breach,MF,Mountain,Brain,135,156,158,116,113,113,140,931,Middle School,Grade 9,Male,Player
86,https://dxi4wb638ujep.cloudfront.net/1/k/a/p/apysu9wdwsm.png,Clive Mooney,Mooney,Inazuma Eleven,Rough Play,FW,Fire,Brain,155,151,137,121,119,112,134,929,Middle School,Grade 8,Male,Player
87,https://dxi4wb638ujep.cloudfront.net/1/k/g/g/ggrzhgjvfm8.png,Neil Waters,Waters,Inazuma Eleven,Justice,DF,Forest,Brain,120,123,127,135,142,123,155,925,Middle School,Grade 8,Male,Player
88,https://dxi4wb638ujep.cloudfront.net/1/k/v/w/vwbkdwhyzbs.png,Newton Thomas,Thommo,Inazuma Eleven,Counter-attack,MF,Forest,Brain,140,152,147,121,123,113,135,931,Adult,-,Male,Manager
89,https://dxi4wb638ujep.cloudfront.net/1/k/n/b/nbqrnz0o4lc.png,Sam Idol,Idol,Inazuma Eleven,Tension,GK,Mountain,Otaku,119,130,123,133,144,152,131,932,Middle School,Grade 8,Male,Player
90,https://dxi4wb638ujep.cloudfront.net/1/k/t/u/tujeeebgnfs.png,Marcus Train,Train,Inazuma Eleven,Rough Play,DF,Fire,Otaku,114,119,116,142,148,121,165,925,Middle School,Grade 9,Male,Player
91,https://dxi4wb638ujep.cloudfront.net/1/k/c/g/cg4_z7n8g2e.png,Light Nobel,Novel,Inazuma Eleven,Justice,MF,Forest,Otaku,140,152,147,121,123,113,135,931,Middle School,Grade 8,Male,Player
92,https://dxi4wb638ujep.cloudfront.net/1/k/e/n/en_jdi1qlwe.png,Walter Valiant,Hero,Inazuma Eleven,Counter-attack,MF,Fire,Otaku,135,158,159,119,113,113,141,938,Middle School,Grade 8,Male,Player
93,https://dxi4wb638ujep.cloudfront.net/1/k/v/p/vpocwdtqids.png,Spencer Gates,Cosplay,Inazuma Eleven,Rough Play,DF,Mountain,Otaku,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
94,https://dxi4wb638ujep.cloudfront.net/1/k/p/g/pgt3jami9jc.png,Josh Spear,Online,Inazuma Eleven,Justice,FW,Forest,Otaku,155,151,137,121,119,112,134,929,Middle School,Grade 8,Male,Player
95,https://dxi4wb638ujep.cloudfront.net/1/k/-/i/-icwo_ayqq0.png,Gaby Farmer,Custom,Inazuma Eleven,Bond,FW,Wind,Otaku,155,151,137,121,119,112,134,929,Middle School,Grade 8,Male,Player
96,https://dxi4wb638ujep.cloudfront.net/1/k/k/i/kijo_yd63vc.png,A. Woodbridge,Robot,Inazuma Eleven,Counter-attack,MF,Wind,Otaku,135,156,158,116,113,113,140,931,Middle School,Grade 7,Male,Player
97,https://dxi4wb638ujep.cloudfront.net/1/k/7/k/7ksvsnlaac0.png,Gus Gamer,Gamer,Inazuma Eleven,Tension,FW,Fire,Otaku,155,151,137,121,119,112,134,929,Middle School,Grade 8,Male,Player
98,https://dxi4wb638ujep.cloudfront.net/1/k/v/i/vijiimsj7wu.png,Mark Gambling,Artist,Inazuma Eleven,Bond,FW,Wind,Otaku,166,158,142,119,113,113,126,937,Middle School,Grade 8,Male,Player
99,https://dxi4wb638ujep.cloudfront.net/1/k/k/k/kk4dlzkzwd8.png,Theodore Master,Arcade,Inazuma Eleven,Rough Play,FW,Forest,Otaku,165,156,142,116,113,113,124,929,Middle School,Grade 9,Male,Player
100,https://dxi4wb638ujep.cloudfront.net/1/k/e/l/elb22u_7jjm.png,Ham Signalman,Signalman,Inazuma Eleven,Breach,MF,Wind,Otaku,135,156,158,116,113,113,140,931,Middle School,Grade 8,Male,Player
101,https://dxi4wb638ujep.cloudfront.net/1/k/1/n/1nqxbrzboqk.png,Bill Formby,Formby,Inazuma Eleven,Breach,DF,Mountain,Otaku,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
102,https://dxi4wb638ujep.cloudfront.net/1/k/3/s/3stl1iltlwk.png,Grant Eldorado,Eldorado,Inazuma Eleven,Tension,GK,Fire,Otaku,117,128,120,135,141,145,128,914,Middle School,Grade 7,Male,Player
103,https://dxi4wb638ujep.cloudfront.net/1/k/g/e/gecqy3txmlm.png,Mike Vox,Vox,Inazuma Eleven,Counter-attack,DF,Wind,Otaku,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
104,https://dxi4wb638ujep.cloudfront.net/1/k/m/r/mr_flqyftf8.png,Ollie Webb,Net,Inazuma Eleven,Counter-attack,DF,Forest,Otaku,114,119,116,142,148,121,165,925,Middle School,Grade 7,Male,Player
105,https://dxi4wb638ujep.cloudfront.net/1/k/b/8/b8ksybiqu-e.png,Manny Artic,Artic,Inazuma Eleven,Justice,MF,Mountain,Otaku,135,156,158,116,113,113,140,931,Adult,-,Male,Manager
106,https://dxi4wb638ujep.cloudfront.net/1/k/q/u/quvzfkeq5ns.png,Meina Maiden,Meina,Inazuma Eleven,Breach,DF,Forest,Otaku,114,119,116,142,148,121,165,925,Middle School,Grade 8,Female,Coordinator
107,https://dxi4wb638ujep.cloudfront.net/1/k/t/b/tb-t5rxymcu.png,Morgan Sanders,Hood,Inazuma Eleven,Bond,GK,Forest,Shuriken,117,128,120,135,141,145,128,914,Middle School,Grade 9,Male,Player
108,https://dxi4wb638ujep.cloudfront.net/1/k/n/u/nudyqmi6t8k.png,Newton Flust,Crackshot,Inazuma Eleven,Tension,DF,Mountain,Shuriken,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
109,https://dxi4wb638ujep.cloudfront.net/1/k/8/g/8gs5hzea-pm.png,Jim Hillfort,Hillfort,Inazuma Eleven,Justice,DF,Wind,Shuriken,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
110,https://dxi4wb638ujep.cloudfront.net/1/k/-/n/-nrlpqws7jm.png,Galen Thunderbird,Thunder,Inazuma Eleven,Bond,DF,Mountain,Shuriken,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
111,https://dxi4wb638ujep.cloudfront.net/1/k/p/p/ppaeevwww6k.png,Finn Stoned,Bandit,Inazuma Eleven,Tension,DF,Fire,Shuriken,114,119,116,142,148,121,165,925,Middle School,Grade 9,Male,Player
112,https://dxi4wb638ujep.cloudfront.net/1/k/v/g/vg5xxifejau.png,Phil Wingate,Code,Inazuma Eleven,Justice,MF,Mountain,Shuriken,141,152,149,123,124,113,135,937,Middle School,Grade 8,Male,Player
113,https://dxi4wb638ujep.cloudfront.net/1/k/e/i/eiiq63jkop8.png,Jez Shell,Star,Inazuma Eleven,Bond,MF,Wind,Shuriken,135,156,158,116,113,113,140,931,Middle School,Grade 8,Male,Player
114,https://dxi4wb638ujep.cloudfront.net/1/k/q/i/qi3il6ggpwu.png,Jupiter Jumper,Cleats,Inazuma Eleven,Rough Play,MF,Wind,Shuriken,140,152,147,121,123,113,135,931,Middle School,Grade 7,Male,Player
115,https://dxi4wb638ujep.cloudfront.net/1/k/b/k/bkgpmfg8el8.png,Sam Samurai,Samurai,Inazuma Eleven,Breach,FW,Forest,Shuriken,165,156,142,116,113,113,124,929,Middle School,Grade 9,Male,Player
116,https://dxi4wb638ujep.cloudfront.net/1/k/1/i/1idk8ep1ljc.png,Hank Sullivan,Hattori,Inazuma Eleven,Bond,MF,Forest,Shuriken,141,152,149,123,124,113,135,937,Middle School,Grade 8,Male,Player
117,https://dxi4wb638ujep.cloudfront.net/1/k/e/k/eksfr7ppi60.png,Sail Bluesea,Cloak,Inazuma Eleven,Breach,FW,Fire,Shuriken,166,158,142,119,113,113,126,937,Middle School,Grade 8,Male,Player
118,https://dxi4wb638ujep.cloudfront.net/1/k/k/l/klpwcmch9ae.png,John Reynolds,Ronin,Inazuma Eleven,Bond,FW,Wind,Shuriken,165,156,142,116,113,113,124,929,Middle School,Grade 8,Male,Player
119,https://dxi4wb638ujep.cloudfront.net/1/k/v/n/vn-rvz69qps.png,Dan Hopper,Hopper,Inazuma Eleven,Counter-attack,DF,Mountain,Shuriken,120,123,127,135,142,123,155,925,Middle School,Grade 8,Male,Player
